model,pre_trained_embeddings,embedding_size,droprate,batch_size,learning_rate,best_train,best_val,best_test
0,False,50,0.1,128,0.001,0.995729166666667,0.98967246975509,0.986159791498158
1,False,50,0.1,128,0.004,0.999427083333333,0.988787253228708,0.988406578592613
2,False,50,0.1,128,0.007,0.949375,0.986426674535261,0.985980048530601
3,False,50,0.1,128,0.01,0.956510416666667,0.983180878946091,0.984002875887481
4,False,50,0.1,256,0.001,0.9978125,0.98967246975509,0.987148377819718
5,False,50,0.1,256,0.004,0.996510416666667,0.989082325169666,0.987507863754831
6,False,50,0.1,256,0.007,0.991354166666667,0.987311891413396,0.98651927743327
7,False,50,0.1,256,0.01,0.9940625,0.986721746827973,0.986159791498158
8,False,50,0.1,384,0.001,0.999531247615814,0.988197103472507,0.985261076660376
9,False,50,0.1,384,0.004,0.995,0.989082327104311,0.985081333692819
10,False,50,0.1,384,0.007,0.995364582538605,0.986721739599437,0.986339534465714
11,False,50,0.1,384,0.01,0.996510411500931,0.98701682089704,0.985620562595488
12,False,50,0.2,128,0.001,0.999166666666667,0.990262614340513,0.986429405949492
13,False,50,0.2,128,0.004,0.996822916666667,0.988787253228708,0.986339534487141
14,False,50,0.2,128,0.007,0.995625,0.985541457287785,0.985350948144154
15,False,50,0.2,128,0.01,0.986822916666667,0.983771023900856,0.983733261436146
16,False,50,0.2,256,0.001,0.996927083333333,0.988787253228708,0.985440819627932
17,False,50,0.2,256,0.004,0.998854166666667,0.988197108643285,0.984991462209041
18,False,50,0.2,256,0.007,0.998020833333333,0.98613160224255,0.98651927743327
19,False,50,0.2,256,0.01,0.989947916666667,0.984361168838033,0.98553069111171
20,False,50,0.2,384,0.001,0.997812495231628,0.989377399555312,0.986339534465714
21,False,50,0.2,384,0.004,0.999062494039536,0.989377392326776,0.986339534465714
22,False,50,0.2,384,0.007,0.998489581346512,0.988492180109376,0.986968634852162
23,False,50,0.2,384,0.01,0.997760413885117,0.987311891255107,0.98651927743327
24,False,50,0.3,128,0.001,0.999322916666667,0.989967542047802,0.985980048530601
25,False,50,0.3,128,0.004,0.99671875,0.989377397814132,0.987238249303496
26,False,50,0.3,128,0.007,0.993958333333333,0.989377397462378,0.987238249303496
27,False,50,0.3,128,0.01,0.941302083333333,0.982885806653379,0.982385189179473
28,False,50,0.3,256,0.001,0.993802083333333,0.989082325169666,0.985980048552028
29,False,50,0.3,256,0.004,0.994791666666667,0.988492180935997,0.987687606722387
30,False,50,0.3,256,0.007,0.994010416666667,0.98554145800888,0.986968634852162
31,False,50,0.3,256,0.01,0.989322916666667,0.98554145800888,0.986159791498158
32,False,50,0.3,384,0.001,0.997968746423721,0.986426680655774,0.985620562595488
33,False,50,0.3,384,0.004,0.999843748807907,0.988492184770111,0.986878763368383
34,False,50,0.3,384,0.007,0.999114577770233,0.988787243713774,0.98553069111171
35,False,50,0.3,384,0.01,0.993281247615814,0.987902032639573,0.985620562595488
36,False,50,0.4,128,0.001,0.99890625,0.992033048096784,0.987687606722387
37,False,50,0.4,128,0.004,0.997708333333333,0.987016819472438,0.987507863754831
38,False,50,0.4,128,0.007,0.99671875,0.989082325169666,0.985710434079267
39,False,50,0.4,128,0.01,0.983020833333333,0.980230156740069,0.980138402085018
40,False,50,0.4,256,0.001,0.99515625,0.989967542047802,0.987148377819718
41,False,50,0.4,256,0.004,0.995833333333333,0.98613160224255,0.986699020400827
42,False,50,0.4,256,0.007,0.99640625,0.986721746827973,0.987058506357367
43,False,50,0.4,256,0.01,0.98828125,0.986426674535261,0.986699020400827
44,False,50,0.4,384,0.001,0.9925,0.990262620619315,0.986878763368383
45,False,50,0.4,384,0.004,0.99234375,0.986131597265236,0.98454210479015
46,False,50,0.4,384,0.007,0.998333328962326,0.987606972552711,0.988136964141278
47,False,50,0.4,384,0.01,0.99208333492279,0.98583652947497,0.986159791498158
48,False,100,0.1,128,0.001,0.994635416666667,0.98790203599882,0.98651927743327
49,False,100,0.1,128,0.004,0.99234375,0.985836529580496,0.983194032554904
50,False,100,0.1,128,0.007,0.986979166666667,0.98465624040965,0.981756088814453
51,False,100,0.1,128,0.01,0.98515625,0.975804072331805,0.97789161501199
52,False,100,0.1,256,0.001,0.994947916666667,0.990557686633225,0.98553069111171
53,False,100,0.1,256,0.004,0.999635416666667,0.988787252507614,0.987687606722387
54,False,100,0.1,256,0.007,0.933177083333333,0.983771023900856,0.981845960276804
55,False,100,0.1,256,0.01,0.994114583333333,0.985246384995073,0.98454210479015
56,False,100,0.1,384,0.001,0.997499994039536,0.989377392326776,0.985081333692819
57,False,100,0.1,384,0.004,0.993124996423721,0.987606965324174,0.985350948144154
58,False,100,0.1,384,0.007,0.999322913885117,0.986721748446039,0.986699020400827
59,False,100,0.1,384,0.01,0.996510413885117,0.987016805296769,0.985800305563045
60,False,100,0.2,128,0.001,0.992135416666667,0.98908232552142,0.987328120787274
61,False,100,0.2,128,0.004,0.995208333333333,0.98790203599882,0.986429405949492
62,False,100,0.2,128,0.007,0.98171875,0.983475951959898,0.982385189179473
63,False,100,0.2,128,0.01,0.946614583333333,0.978164650691087,0.98004853060124
64,False,100,0.2,256,0.001,0.991927083333333,0.990557686633225,0.98553069111171
65,False,100,0.2,256,0.004,0.996197916666667,0.987606963706108,0.985800305563045
66,False,100,0.2,256,0.007,0.993125,0.985836530301591,0.984182618876464
67,False,100,0.2,256,0.01,0.992916666666667,0.985246385364414,0.984182618855037
68,False,100,0.2,384,0.001,0.999687497615814,0.990557695638117,0.986249662981936
69,False,100,0.2,384,0.004,0.988281246423721,0.987016814143371,0.985350948144154
70,False,100,0.2,384,0.007,0.996874996423721,0.987606961138307,0.983194032533477
71,False,100,0.2,384,0.01,0.992656246423721,0.98642666924137,0.985440819627932
72,False,100,0.3,128,0.001,0.9996875,0.98967246975509,0.987328120787274
73,False,100,0.3,128,0.004,0.9946875,0.98790203599882,0.986788891884605
74,False,100,0.3,128,0.007,0.952395833333333,0.985246385716168,0.985171205176598
75,False,100,0.3,128,0.01,0.947760416666667,0.980525228311686,0.982744675114586
76,False,100,0.3,256,0.001,0.998333333333333,0.989967542047802,0.985350948144154
77,False,100,0.3,256,0.004,0.993020833333333,0.988787253228708,0.986069920014379
78,False,100,0.3,256,0.007,0.992291666666667,0.987016819120685,0.985081333692819
79,False,100,0.3,256,0.01,0.985677083333333,0.984361168116938,0.985440819627932
80,False,100,0.3,384,0.001,1,0.989672480378048,0.984002875887481
81,False,100,0.3,384,0.004,0.998802078962326,0.989672471531446,0.986609148917049
82,False,100,0.3,384,0.007,0.996093746423721,0.988787259314045,0.985171205176598
83,False,100,0.3,384,0.01,0.996249997615814,0.987606967891976,0.985620562595488
84,False,100,0.4,128,0.001,0.998125,0.990262614692267,0.985350948144154
85,False,100,0.4,128,0.004,0.999322916666667,0.98967246975509,0.987238249303496
86,False,100,0.4,128,0.007,0.9903125,0.985836530301591,0.985081333692819
87,False,100,0.4,128,0.01,0.987239583333333,0.981115373618204,0.981486474341691
88,False,100,0.4,256,0.001,0.988020833333333,0.990262614692267,0.987328120787274
89,False,100,0.4,256,0.004,0.997916666666667,0.987606963706108,0.984991462209041
90,False,100,0.4,256,0.007,0.99703125,0.986721746827973,0.985890177046823
91,False,100,0.4,256,0.01,0.931145833333333,0.983771024252609,0.983194032533477
92,False,100,0.4,384,0.001,0.999583332538605,0.989082320350642,0.983913004403703
93,False,100,0.4,384,0.004,0.993541671037674,0.98908232453651,0.98705850633594
94,False,100,0.4,384,0.007,0.996718747615814,0.987606972552711,0.986788891884605
95,False,100,0.4,384,0.01,0.994687501192093,0.986131612865507,0.983823132919924
96,False,300,0.1,128,0.001,0.994270833333333,0.989082325169666,0.987597735238609
97,False,300,0.1,128,0.004,0.994427083333333,0.989082325169666,0.98454210479015
98,False,300,0.1,128,0.007,0.985833333333333,0.985246385364414,0.984092747371259
99,False,300,0.1,128,0.01,0.94765625,0.976394216565475,0.976723285722874
100,False,300,0.1,256,0.001,0.997552083333333,0.990262614340513,0.986159791498158
101,False,300,0.1,256,0.004,0.991041666666667,0.989082325169666,0.986788891884605
102,False,300,0.1,256,0.007,0.989166666666666,0.983475951590556,0.982744675136013
103,False,300,0.1,256,0.01,0.98609375,0.975804072349393,0.981845960276804
104,False,300,0.1,384,0.001,0.999947916269302,0.991147835404516,0.986069920014379
105,False,300,0.1,384,0.004,0.998854162693024,0.989672469438512,0.986339534465714
106,False,300,0.1,384,0.007,0.998437495231628,0.987016816711172,0.98705850633594
107,False,300,0.1,384,0.01,0.992291668653488,0.984656235485099,0.985440819627932
108,False,300,0.2,128,0.001,0.994635416666667,0.988197108643285,0.984721847757706
109,False,300,0.2,128,0.004,0.9953125,0.984361168838033,0.984452233306372
110,False,300,0.2,128,0.007,0.988541666666667,0.982590735081762,0.982834546598364
111,False,300,0.2,128,0.01,0.938645833333333,0.971082915666006,0.974746113058326
112,False,300,0.2,256,0.001,0.997083333333333,0.989967542399555,0.98705850633594
113,False,300,0.2,256,0.004,0.9978125,0.987902035629478,0.98705850633594
114,False,300,0.2,256,0.007,0.991979166666667,0.985246385716168,0.979868787633684
115,False,300,0.2,256,0.01,0.98390625,0.982590734730009,0.983104161049699
116,False,300,0.2,384,0.001,0.998958327770233,0.989082331290179,0.984811719241485
117,False,300,0.2,384,0.004,0.996718746423721,0.987311886119505,0.985350948144154
118,False,300,0.2,384,0.007,0.997343745231628,0.986426676469906,0.985620562595488
119,False,300,0.2,384,0.01,0.992343752384186,0.983771018606964,0.982834546598364
120,False,300,0.3,128,0.001,0.996979166666666,0.987606964057862,0.984721847757706
121,False,300,0.3,128,0.004,0.995052083333333,0.987016819120685,0.983823132919924
122,False,300,0.3,128,0.007,0.98609375,0.984656241130744,0.9810371169228
123,False,300,0.3,128,0.01,0.946354166666667,0.977279433091857,0.979419430214793
124,False,300,0.3,256,0.001,0.996458333333333,0.989672470106843,0.984811719241485
125,False,300,0.3,256,0.004,0.99359375,0.98908232552142,0.986699020400827
126,False,300,0.3,256,0.007,0.992447916666667,0.985541457657126,0.98553069111171
127,False,300,0.3,256,0.01,0.9884375,0.979935084095603,0.983194032533477
128,False,300,0.3,384,0.001,0.992500002384186,0.989082327104311,0.985440819627932
129,False,300,0.3,384,0.004,0.998697913885116,0.987902031021506,0.986249662981936
130,False,300,0.3,384,0.007,0.995781248807907,0.98878725465331,0.986609148917049
131,False,300,0.3,384,0.01,0.991562502384186,0.986131606586706,0.981486474341691
132,False,300,0.4,128,0.001,0.998958333333333,0.989377397462378,0.98553069111171
133,False,300,0.4,128,0.004,0.996354166666667,0.988787252876955,0.987148377819718
134,False,300,0.4,128,0.007,0.980989583333333,0.982000590496339,0.98355351846859
135,False,300,0.4,128,0.01,0.96640625,0.9669519031987,0.969353824031635
136,False,300,0.4,256,0.001,0.998697916666667,0.98908232552142,0.986339534465714
137,False,300,0.4,256,0.004,0.99984375,0.98996754167846,0.986339534465714
138,False,300,0.4,256,0.007,0.992916666666667,0.985836530301591,0.984991462209041
139,False,300,0.4,256,0.01,0.937864583333333,0.983180879315432,0.983104161049699
140,False,300,0.4,384,0.001,0.998385413885117,0.988492189430846,0.984182618855037
141,False,300,0.4,384,0.004,0.994322921037674,0.987606967417108,0.985620562595488
142,False,300,0.4,384,0.007,0.995677082538605,0.988197110226176,0.986249662981936
143,False,300,0.4,384,0.01,0.984531251192093,0.984951315164636,0.982025703244361
