model,kernel,alpha,batch_size,gamma,n_components,best_train,best_val,best_test
0,linear,1e-05,50,None,None,0.9832291666666667,0.9787547949247566,0.9765435427338905
1,linear,3.578947368421053e-05,50,None,None,0.978125,0.9772794334611979,0.9775321290554507
2,linear,6.157894736842106e-05,50,None,None,0.97078125,0.9719681321923871,0.9703424103531949
3,linear,8.736842105263157e-05,50,None,None,0.9724479166666666,0.9701976984361168,0.9718702255774243
4,linear,0.0001131578947368421,50,None,None,0.9680729166666666,0.9687223369725583,0.9679158802911836
5,linear,0.00013894736842105261,50,None,None,0.9634375,0.9663617586308646,0.9636919205536083
6,linear,0.00016473684210526314,50,None,None,0.95171875,0.9640011802891708,0.954884515143345
7,linear,0.00019052631578947367,50,None,None,0.9638541666666667,0.9634110357037474,0.9646805068751685
8,linear,0.0002163157894736842,50,None,None,0.9577083333333334,0.9625258188256123,0.9595578322998113
9,linear,0.00024210526315789473,50,None,None,0.9558854166666667,0.9625258188256123,0.9583895030106947
10,linear,0.00026789473684210526,50,None,None,0.8969270833333334,0.9578046621422248,0.9035678979059945
11,linear,0.0002936842105263158,50,None,None,0.9383333333333334,0.9471820596046031,0.9442796800575177
12,linear,0.0003194736842105263,50,None,None,0.8960416666666666,0.9610504573620537,0.9032982834546598
13,linear,0.00034526315789473684,50,None,None,0.9607291666666666,0.9580997344349366,0.9611755190078188
14,linear,0.00037105263157894737,50,None,None,0.9191145833333333,0.9578046621422248,0.9262155118181001
15,linear,0.0003968421052631579,50,None,None,0.90578125,0.9457066981410446,0.9121056888649232
16,linear,0.0004226315789473684,50,None,None,0.85109375,0.9557391560932429,0.8548575536982116
17,linear,0.00044842105263157895,50,None,None,0.9029166666666667,0.9580997344349366,0.909319672867799
18,linear,0.0004742105263157895,50,None,None,0.8235416666666666,0.9451165535556211,0.8248404781162937
19,linear,0.0005,50,None,None,0.95359375,0.9551490115078194,0.9565920733351307
20,linear,1e-05,112,None,None,0.98546875,0.9820005901445854,0.9823851891794734
21,linear,3.578947368421053e-05,112,None,None,0.975625,0.9781646503393331,0.9756448278961085
22,linear,6.157894736842106e-05,112,None,None,0.97765625,0.9737385659486574,0.9774422575716725
23,linear,8.736842105263157e-05,112,None,None,0.96578125,0.9681321923871349,0.9670171654534017
24,linear,0.0001131578947368421,112,None,None,0.9459895833333334,0.9678371200944231,0.9505706839219915
25,linear,0.00013894736842105261,112,None,None,0.9634375,0.964886397167306,0.9641412779724994
26,linear,0.00016473684210526314,112,None,None,0.9594270833333334,0.9625258188256123,0.9602768041700368
27,linear,0.00019052631578947367,112,None,None,0.9597916666666667,0.962820891118324,0.9603666756538151
28,linear,0.0002163157894736842,112,None,None,0.9388541666666667,0.960755385069342,0.9450885234115215
29,linear,0.00024210526315789473,112,None,None,0.953125,0.9625258188256123,0.9565022018513526
30,linear,0.00026789473684210526,112,None,None,0.9418229166666666,0.9589849513130717,0.9483238968275366
31,linear,0.0002936842105263158,112,None,None,0.94546875,0.9589849513130717,0.9502111979868788
32,linear,0.0003194736842105263,112,None,None,0.9063541666666667,0.9589849513130717,0.9131841466702615
33,linear,0.00034526315789473684,112,None,None,0.9195833333333333,0.9578046621422248,0.9263952547856565
34,linear,0.00037105263157894737,112,None,None,0.9254166666666667,0.9533785777515491,0.932057158263683
35,linear,0.0003968421052631579,112,None,None,0.95171875,0.9569194452640897,0.9549743866271232
36,linear,0.0004226315789473684,112,None,None,0.8890104166666667,0.9350840956034229,0.8974566370090771
37,linear,0.00044842105263157895,112,None,None,0.9068229166666667,0.9430510475066392,0.9129145322189269
38,linear,0.0004742105263157895,112,None,None,0.9424479166666667,0.956624372971378,0.9476947964410892
39,linear,0.0005,112,None,None,0.878125,0.9395101799940986,0.8855037296665768
40,linear,1e-05,175,None,None,0.98765625,0.9820005901445854,0.9828345465983643
41,linear,3.578947368421053e-05,175,None,None,0.97625,0.9766892888757746,0.9760043138312213
42,linear,6.157894736842106e-05,175,None,None,0.9661979166666667,0.9734434936559457,0.9678260088074054
43,linear,8.736842105263157e-05,175,None,None,0.92953125,0.9701976984361168,0.9328660016176867
44,linear,0.0001131578947368421,175,None,None,0.9457291666666666,0.9654765417527295,0.9501213265031005
45,linear,0.00013894736842105261,175,None,None,0.9508854166666667,0.9651814694600177,0.9547047721757886
46,linear,0.00016473684210526314,175,None,None,0.9561458333333334,0.9642962525818826,0.9588388604295857
47,linear,0.00019052631578947367,175,None,None,0.9598958333333333,0.9601652404839186,0.9607261615889279
48,linear,0.0002163157894736842,175,None,None,0.9182291666666667,0.9578046621422248,0.92522692549654
49,linear,0.00024210526315789473,175,None,None,0.9601041666666666,0.9610504573620537,0.962164105329379
50,linear,0.00026789473684210526,175,None,None,0.95390625,0.9610504573620537,0.9569515592702436
51,linear,0.0002936842105263158,175,None,None,0.9146354166666667,0.9589849513130717,0.9213624516940775
52,linear,0.0003194736842105263,175,None,None,0.94671875,0.9601652404839186,0.9524579850813337
53,linear,0.00034526315789473684,175,None,None,0.9064583333333334,0.960755385069342,0.9135436326053743
54,linear,0.00037105263157894737,175,None,None,0.9168229166666667,0.9589849513130717,0.9237889817560888
55,linear,0.0003968421052631579,175,None,None,0.9120833333333334,0.9557391560932429,0.9183068212456188
56,linear,0.0004226315789473684,175,None,None,0.9006770833333333,0.956624372971378,0.9068931428057877
57,linear,0.00044842105263157895,175,None,None,0.8898958333333333,0.9265269991147831,0.8987148377819718
58,linear,0.0004742105263157895,175,None,None,0.8935416666666667,0.9575095898495132,0.901500853779096
59,linear,0.0005,175,None,None,0.89,0.95868987902036,0.8985350948144154
60,linear,1e-05,237,None,None,0.9843229166666667,0.9802301563883151,0.9818459602768042
61,linear,3.578947368421053e-05,237,None,None,0.9703645833333333,0.9760991442903512,0.9709715107396423
62,linear,6.157894736842106e-05,237,None,None,0.9567708333333333,0.9722632044850988,0.9590186033971421
63,linear,8.736842105263157e-05,237,None,None,0.9654166666666667,0.9707878430215403,0.9666576795182888
64,linear,0.0001131578947368421,237,None,None,0.9585416666666666,0.96901740926527,0.9598274467511458
65,linear,0.00013894736842105261,237,None,None,0.9455729166666667,0.9666568309235762,0.9501213265031005
66,linear,0.00016473684210526314,237,None,None,0.9438020833333334,0.9640011802891708,0.9487732542464276
67,linear,0.00019052631578947367,237,None,None,0.94875,0.9604603127766302,0.9534465714028939
68,linear,0.0002163157894736842,237,None,None,0.96375,0.9625258188256123,0.9647703783589467
69,linear,0.00024210526315789473,237,None,None,0.9355729166666666,0.9598701681912069,0.9419430214792847
70,linear,0.00026789473684210526,237,None,None,0.9215104166666667,0.95868987902036,0.9281028129774422
71,linear,0.0002936842105263158,237,None,None,0.9413541666666667,0.9604603127766302,0.9475150534735328
72,linear,0.0003194736842105263,237,None,None,0.9070833333333334,0.956624372971378,0.9131841466702615
73,linear,0.00034526315789473684,237,None,None,0.93671875,0.9589849513130717,0.9431113507684011
74,linear,0.00037105263157894737,237,None,None,0.9047395833333334,0.9536736500442609,0.911117102543363
75,linear,0.0003968421052631579,237,None,None,0.87046875,0.9583948067276483,0.8758874809023097
76,linear,0.0004226315789473684,237,None,None,0.9040104166666667,0.9460017704337562,0.9102183877055811
77,linear,0.00044842105263157895,237,None,None,0.9349479166666667,0.9539687223369726,0.9409544351577245
78,linear,0.0004742105263157895,237,None,None,0.9303645833333334,0.9403953968722337,0.9379886761930439
79,linear,0.0005,237,None,None,0.89671875,0.9521982885807023,0.9039273838411073
80,linear,1e-05,300,None,None,0.985625,0.9817055178518737,0.9823851891794734
81,linear,3.578947368421053e-05,300,None,None,0.9804166666666667,0.9772794334611979,0.9797789161499056
82,linear,6.157894736842106e-05,300,None,None,0.96125,0.9737385659486574,0.9628830771996045
83,linear,8.736842105263157e-05,300,None,None,0.9690104166666667,0.9701976984361168,0.9692639525478566
84,linear,0.0001131578947368421,300,None,None,0.9675,0.9687223369725583,0.9673766513885145
85,linear,0.00013894736842105261,300,None,None,0.944375,0.9660666863381528,0.9494922261166532
86,linear,0.00016473684210526314,300,None,None,0.9182291666666667,0.9651814694600177,0.9236092387885324
87,linear,0.00019052631578947367,300,None,None,0.96203125,0.9616406019474771,0.9633324346184956
88,linear,0.0002163157894736842,300,None,None,0.9166666666666666,0.9637061079964592,0.9235193673047541
89,linear,0.00024210526315789473,300,None,None,0.9446875,0.9622307465329005,0.9504808124382134
90,linear,0.00026789473684210526,300,None,None,0.9041145833333334,0.9595750958984951,0.9094095443515773
91,linear,0.0002936842105263158,300,None,None,0.9376041666666667,0.9575095898495132,0.9447290374764087
92,linear,0.0003194736842105263,300,None,None,0.9340104166666666,0.9604603127766302,0.9408645636739462
93,linear,0.00034526315789473684,300,None,None,0.9498958333333334,0.9592800236057835,0.9547047721757886
94,linear,0.00037105263157894737,300,None,None,0.8931770833333333,0.9457066981410446,0.9006920104250922
95,linear,0.0003968421052631579,300,None,None,0.9053125,0.9412806137503689,0.9118360744135886
96,linear,0.0004226315789473684,300,None,None,0.8800520833333333,0.9365594570669814,0.8879302597285881
97,linear,0.00044842105263157895,300,None,None,0.8968229166666667,0.9460017704337562,0.9041969982924418
98,linear,0.0004742105263157895,300,None,None,0.8628125,0.9569194452640897,0.8686078907162758
99,linear,0.0005,300,None,None,0.8763541666666667,0.9368545293596932,0.8839759144423475
